City,"Population Estimates, July 1 2021, (V2021)","Population estimates base, April 1, 2020, (V2021)","Population, percent change - April 1, 2020 (estimates base) to July 1, 2021, (V2021)","Population, Census, April 1, 2020","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2017-2021","Foreign born persons, percent, 2017-2021","Owner-occupied housing unit rate, 2017-2021","Median value of owner-occupied housing units, 2017-2021","Median selected monthly owner costs -with a mortgage, 2017-2021","Median selected monthly owner costs -without a mortgage, 2017-2021","Median gross rent, 2017-2021","Households, 2017-2021","Persons per household, 2017-2021","Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","Households with a computer, percent, 2017-2021","Households with a broadband Internet subscription, percent, 2017-2021","High school graduate or higher, percent of persons age 25 years+, 2017-2021","Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","With a disability, under age 65 years, percent, 2017-2021","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2017-2021","In civilian labor force, female, percent of population age 16 years+, 2017-2021","Total accommodation and food services sales, 2017 ($1,000)","Total health care and social assistance receipts/revenue, 2017 ($1,000)","Total transportation and warehousing receipts/revenue, 2017 ($1,000)","Total retail sales, 2017 ($1,000)","Total retail sales per capita, 2017","Mean travel time to work (minutes), workers age 16 years+, 2017-2021","Median household income (in 2021 dollars), 2017-2021","Per capita income in past 12 months (in 2021 dollars), 2017-2021","Persons in poverty, percent","All employer firms, Reference year 2017","Men-owned employer firms, Reference year 2017","Women-owned employer firms, Reference year 2017","Minority-owned employer firms, Reference year 2017","Nonminority-owned employer firms, Reference year 2017","Veteran-owned employer firms, Reference year 2017","Nonveteran-owned employer firms, Reference year 2017","Population per square mile, 2020","Population per square mile, 2010","Land area in square miles, 2020","Land area in square miles, 2010",FIPS Code
Seattle,733919,735157,-0.002,737015,608660,0.046,0.145,0.123,0.493,0.649,0.068,0.005,0.163,0.002,0.088,0.072,0.622,24924,0.193,0.452,767500,2957,989,1801,337361,2.08,0.768,0.221,0.968,0.929,0.955,0.659,0.064,0.049,0.74,0.706,4918030,13241698,9512158,60443530,82840,27.7,105391,68836,0.1,22311,11229,4941,3760,15322,1113,17937,8791.8,7250.9,83.83,83.94,5363000
Houston,2288250,2302792,-0.006,2304580,2099451,0.072,0.246,0.111,0.502,0.468,0.226,0.005,0.068,0.001,0.108,0.445,0.241,65632,0.289,0.425,200700,1799,558,1136,878906,2.57,0.825,0.481,0.931,0.858,0.795,0.347,0.068,0.263,0.668,0.595,11039101,32073432,26597641,53089247,22952,27.5,56019,35578,0.195,55378,32405,10556,17464,31672,3127,45861,3598.4,3501.5,640.44,599.59,4835000
San Francisco,815201,873965,-0.067,873965,805235,0.044,0.136,0.159,0.488,0.434,0.052,0.005,0.344,0.004,0.084,0.154,0.392,20890,0.341,0.382,1194500,3993,811,2130,361222,2.34,0.846,0.427,0.952,0.906,0.888,0.595,0.057,0.041,0.711,0.671,9426164,13052393,3487455,19362279,22066,32.8,126187,77267,0.103,28537,16546,5556,8700,15961,928,24043,18629.1,17179.2,46.91,46.87,667000
Miami,439890,442265,-0.005,442241,399457,0.056,0.169,0.164,0.496,0.55,0.152,0.003,0.014,0,0.229,0.723,0.114,7253,0.581,0.3,369100,2230,666,1361,181597,2.38,0.846,0.778,0.915,0.731,0.792,0.331,0.07,0.221,0.645,0.589,2753630,6459937,11121227,10232692,22444,28,47860,34295,0.209,17541,9885,3664,7831,7499,636,15099,12285.8,11135.9,36,35.87,1245000
Chicago,2696555,2747231,-0.018,2746388,2695598,0.059,0.204,0.128,0.512,0.453,0.292,0.005,0.068,0,0.074,0.287,0.331,65817,0.202,0.456,277600,2097,749,1209,1112581,2.41,0.854,0.352,0.918,0.844,0.863,0.417,0.075,0.109,0.673,0.634,12308450,22877074,19271130,23313046,8601,34.4,65781,41821,0.171,50497,30205,10807,11729,33170,1861,42885,12059.8,11841.8,227.73,227.63,1714000
New York City,8467513,8804190,-0.038,8804190,8175133,0.062,0.209,0.151,0.52,0.398,0.234,0.005,0.142,0.001,0.071,0.289,0.319,144558,0.363,0.332,660700,2913,985,1579,3250657,2.63,0.901,0.479,0.92,0.862,0.832,0.396,0.069,0.079,0.634,0.59,38941921,NA,29800369,116309814,13785,41.4,70663,43952,0.17,205592,131584,45114,64514,125877,5506,185582,29303.2,27012.4,300.45,302.64,3651000
Boston,654776,676216,-0.032,675647,617594,0.048,0.157,0.118,0.52,0.501,0.235,0.003,0.097,0.001,0.096,0.198,0.44,13713,0.281,0.348,610400,2565,854,1783,271950,2.3,0.805,0.366,0.936,0.884,0.882,0.521,0.083,0.037,0.696,0.674,6072943,21411934,5475132,12080224,17552,30.6,81744,50344,0.176,15358,9110,2316,2426,10036,536,11997,13976.7,12792.7,48.34,48.28,2507000
Minneapolis,425336,428403,-0.007,429954,382578,0.06,0.197,0.102,0.493,0.631,0.184,0.013,0.057,0,0.069,0.098,0.601,12454,0.148,0.481,284400,1830,690,1159,182419,2.24,0.773,0.214,0.95,0.878,0.907,0.526,0.087,0.068,0.743,0.726,1998691,8089298,6238171,5706793,13550,23.2,70099,43925,0.17,10211,5413,2166,928,7540,409,8038,7962.1,7088.3,54,53.97,2743000
Atlanta,496461,498602,-0.004,498715,420003,0.053,0.174,0.116,0.511,0.41,0.482,0.003,0.05,0,0.037,0.05,0.391,17353,0.083,0.452,346600,2103,670,1342,221171,2.06,0.787,0.107,0.933,0.877,0.921,0.556,0.084,0.119,0.663,0.64,4270907,8249204,15197457,7416315,15070,27.8,69164,54466,0.185,14197,7886,2989,2655,9199,837,10842,3685.7,3154.3,135.31,133.15,1304000
Las Vegas,646790,641825,0.008,641903,583756,0.06,0.235,0.148,0.498,0.555,0.115,0.01,0.068,0.008,0.111,0.341,0.421,39252,0.208,0.537,302100,1630,465,1219,236410,2.65,0.838,0.328,0.939,0.844,0.854,0.259,0.086,0.15,0.623,0.574,3979405,5199284,362455,10767863,16937,25.8,61356,33363,0.149,11935,6598,2538,2445,7918,735,9671,4526,4298.2,141.83,135.81,3240000
